Assessment Name,Assessment URL,Remote Testing Support,Adaptive/IRT Support,Test Type,Test Type Keys,Description,Time (Minutes),Job Levels,Languages
Global Skills Development Report,https://www.shl.com/products/product-catalog/view/global-skills-development-report/,Yes,No,"Ability, E, Behavior, C, D, Personality & Behavior","['A', 'E', 'B', 'C', 'D', 'P']","This report is designed to be given to individuals who have completed the Global Skills Assessment (GSA). With coverage across the Great 8 Domains, this measure of self-reported behaviors offers a complete overview of their current skills. Participants receive actionable tips on leveraging their top skill strengths and how they might develop their growth skills.",,"Director, Entry-Level, Executive, General Population, Graduate, Manager, Mid-Professional, Front Line Manager, Supervisor,",
.NET Framework 4.5,https://www.shl.com/products/product-catalog/view/net-framework-4-5/,Yes,Yes,Knowledge & Skills,['K'],"The.NET Framework 4.5 test measures knowledge of .NET environment. Designed for experienced users, this test covers the following topics: Application Development, Application Foundation, Data Modeling, Deployment, Diagnostics, Performance, Portability, and Security.",30,"Professional Individual Contributor, Mid-Professional,","English (USA),"
.NET MVC (New),https://www.shl.com/products/product-catalog/view/net-mvc-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of Model-View-Controller (MVC) architecture, validation, security, routing, and areas.",17,"Mid-Professional, Professional Individual Contributor,","English (USA),"
.NET MVVM (New),https://www.shl.com/products/product-catalog/view/net-mvvm-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of MVVM pattern, scenarios, data validation, ViewModel communication and Quick-start.",5,"Mid-Professional, Professional Individual Contributor,","English (USA),"
.NET WCF (New),https://www.shl.com/products/product-catalog/view/net-wcf-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of .NET fundamentals, WCF architecture, programming model, SOA, managing and programming WCF.",11,"Mid-Professional, Professional Individual Contributor,","English (USA),"
.NET WPF (New),https://www.shl.com/products/product-catalog/view/net-wpf-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of .NET basics, WPF, XAML controls, events, layouts, working with WPF windows/menus and deploying WPF applications.",9,"Mid-Professional, Professional Individual Contributor,","English (USA),"
.NET XAML (New),https://www.shl.com/products/product-catalog/view/net-xaml-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of XAML triggers, data binding, custom controls and layouts.",5,"Mid-Professional, Professional Individual Contributor,","English (USA),"
Accounts Payable (New),https://www.shl.com/products/product-catalog/view/accounts-payable-new/,Yes,No,Knowledge & Skills,['K'],"Multiple-choice test that measures the knowledge of processing payables and vendor invoices, and the posting of journal entries.",9,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),"
Accounts Payable Simulation (New),https://www.shl.com/products/product-catalog/view/accounts-payable-simulation-new/,Yes,No,Simulations,['S'],Simulated data entry test that measures the ability to process payables and vendor invoices.,8,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),"
Accounts Receivable (New),https://www.shl.com/products/product-catalog/view/accounts-receivable-new/,Yes,No,Knowledge & Skills,['K'],Multiple-choice test that measures the knowledge of processing receivables and invoices.,13,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),"
Accounts Receivable Simulation (New),https://www.shl.com/products/product-catalog/view/accounts-receivable-simulation-new/,Yes,No,Simulations,['S'],Simulated data entry test that measures the ability to process receivables and invoices.,8,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),"
ADO.NET (New),https://www.shl.com/products/product-catalog/view/ado-net-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge on the concepts of ADO.NET architecture, components and data provider objects.",10,"Mid-Professional, Professional Individual Contributor,","English (USA),"
Adobe Experience Manager (New),https://www.shl.com/products/product-catalog/view/adobe-experience-manager-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of AEM components, templates, workflows, AEM collections, OSGi services and troubleshooting of AEM projects.",17,"Mid-Professional, Professional Individual Contributor,","English (USA),"
Adobe Photoshop CC,https://www.shl.com/products/product-catalog/view/adobe-photoshop-cc/,Yes,Yes,Knowledge & Skills,['K'],"The Adobe Photoshop CC test measures knowledge of Adobe Photoshop CC. Designed for experienced users, this test covers the following topics: 3D, Color, File Management, Interface, Layers, Painting and Drawing, Retouch and Enhancements, Selection, Text, and Web.",20,"Mid-Professional, Professional Individual Contributor,","English (USA),"
Aeronautical Engineering (New),https://www.shl.com/products/product-catalog/view/aeronautical-engineering-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of flight mechanics, space dynamics, aerodynamics, structures and propulsion.",10,"Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),"
